sg,sr,sc,dg,dr,dc,color,bytes,job0,job1,job2,job3,job4,job5,job6,job7
6,2,9,6,2,15,g,178.685280,0.420717,0.002914,0.011573,142.446610,9.970679,0.036313,25.256963,0.539511
7,2,9,7,2,15,g,252.902700,0.459537,0.001616,0.007306,232.712452,6.565245,0.016463,0.123604,13.016478
8,2,9,8,2,15,g,18.648834,0.414529,0.003499,0.005613,0.945751,5.809695,6.826415,0.091702,4.551629
9,2,9,9,2,15,g,93.279895,0.384363,0.001954,0.003591,0.823628,39.610331,0.007524,0.129001,52.319504
10,2,9,10,2,15,g,192.450393,0.415381,0.001501,0.003768,0.895453,189.467009,0.012635,0.209822,1.444825
11,2,9,11,2,15,g,113.746011,0.494255,0.003946,0.042907,2.253380,108.646562,0.029951,0.294779,1.980232
12,2,9,12,2,15,g,12.104627,0.439633,0.003342,2.183844,1.013864,6.360274,0.017691,0.134839,1.951140
13,2,9,13,2,15,g,16.243625,0.744638,0.004646,2.055712,2.533860,7.594559,0.104391,0.375578,2.830239
14,2,9,14,2,15,g,17.303741,0.604591,0.003011,0.056477,1.622793,9.923255,4.403718,0.282392,0.407503
15,2,9,15,2,15,g,15.296207,0.009382,0.039756,0.064913,1.323449,8.781808,4.659247,0.000000,0.417653
0,2,9,0,3,9,k,93.868341,93.233195,0.037918,0.018331,0.249464,0.139525,0.010843,0.179066,0.000000
1,2,9,1,3,9,k,77.275865,76.994652,0.066136,0.000000,0.000000,0.000000,0.000000,0.215077,0.000000
2,2,9,2,3,9,k,15.577895,14.120325,1.457571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2,9,3,3,9,k,117.635210,0.000000,0.013788,0.000000,116.254009,0.000000,0.000000,1.367413,0.000000
4,2,9,4,3,9,k,179.371190,0.000000,0.068753,0.000000,144.459955,0.000000,0.000000,34.842482,0.000000
5,2,9,5,3,9,k,94.322841,0.000000,0.000000,0.000000,18.211453,0.000000,0.000000,76.111388,0.000000
6,2,9,6,3,9,k,193.455875,0.000000,0.000000,0.000000,179.669338,0.000000,0.000000,13.786538,0.000000
7,2,9,7,3,9,k,213.496552,0.000000,0.000000,0.000000,205.030385,0.000000,0.354094,2.858457,5.253615
8,2,9,8,3,9,k,86.566692,0.000000,0.000000,0.000000,26.198909,0.000000,0.353000,2.158483,57.856299
9,2,9,9,3,9,k,130.333609,0.000000,0.000000,0.000000,0.000000,92.965478,0.000000,0.000000,37.368131
10,2,9,10,3,9,k,485.671962,0.000000,0.000000,0.015758,0.000000,482.608386,0.000000,0.000000,3.047818
11,2,9,11,3,9,k,223.816561,0.000000,0.000000,0.039364,0.000000,216.318054,0.000000,0.000000,7.459142
12,2,9,12,3,9,k,60.058426,0.000000,0.000000,1.040173,0.000000,57.483803,0.000000,0.000000,1.534450
13,2,9,13,3,9,k,46.291132,0.000000,0.000000,0.339790,0.000000,7.317380,0.966130,0.000000,37.667833
14,2,9,14,3,9,k,4.858057,0.000000,0.000000,0.475270,0.000000,0.000000,4.382787,0.000000,0.000000
15,2,9,15,3,9,k,29.202067,1.766186,2.436650,0.151599,3.467910,2.196443,2.343581,8.262533,8.577164
